"","Date","mean_sfr_value","median_sale_price","Fed_Interest_Rate","mortgage_rate_15_year","mortgage_rate_30_year","ny_median_hh_income","national_median_hh_income","non_seven_major_felonies","major_felonies","misdemeanor_offenses","unemployment_rate","housing_crisis","covid_pandemic"
"1",2000-09-01,230083.825885694,261892.036582125,6.52,7.67,7.96,5662.5,3499.16666666667,6738.41666666667,15387.6666666667,36283.75,4.5,0,0
"2",2000-10-01,232630.618031079,264517.44777833,6.51,7.67,7.96,5662.5,3499.16666666667,6738.41666666667,15387.6666666667,36283.75,4.4,0,0
"3",2000-11-01,235099.764893127,267563.687723438,6.51,7.67,7.96,5662.5,3499.16666666667,6738.41666666667,15387.6666666667,36283.75,4.3,0,0
"4",2000-12-01,237431.490417758,270478.612121064,6.4,7.35,7.65,5662.5,3499.16666666667,6738.41666666667,15387.6666666667,36283.75,4.3,0,0
"5",2001-01-01,239653.334652943,273271.226324409,5.98,7.35,7.65,5723.33333333333,3519.16666666667,6256.5,13575.6666666667,33658.5833333333,4.2,0,0
"6",2001-02-01,241931.634301189,275801.941328045,5.49,7.35,7.65,5723.33333333333,3519.16666666667,6256.5,13575.6666666667,33658.5833333333,4.2,0,0
"7",2001-03-01,244142.665752121,278591.338461335,5.31,7.35,7.65,5723.33333333333,3519.16666666667,6256.5,13575.6666666667,33658.5833333333,4.3,0,0
"8",2001-04-01,246378.358841629,281387.843310075,4.8,7.35,7.65,5723.33333333333,3519.16666666667,6256.5,13575.6666666667,33658.5833333333,4.3,0,0
"9",2001-05-01,248575.603275585,284010.728710944,4.21,7.35,7.65,5723.33333333333,3519.16666666667,6256.5,13575.6666666667,33658.5833333333,4.4,0,0
"10",2001-06-01,250941.946636812,286613.722990543,3.97,6.78,7.24,5723.33333333333,3519.16666666667,6256.5,13575.6666666667,33658.5833333333,4.6,0,0
"11",2001-07-01,253353.535826653,289142.712132163,3.77,6.78,7.24,5723.33333333333,3519.16666666667,6256.5,13575.6666666667,33658.5833333333,4.8,0,0
"12",2001-08-01,255943.397088371,291872.888191151,3.65,6.78,7.24,5723.33333333333,3519.16666666667,6256.5,13575.6666666667,33658.5833333333,5,0,0
"13",2001-09-01,258615.483699126,294194.611840186,3.07,6.78,7.24,5723.33333333333,3519.16666666667,6256.5,13575.6666666667,33658.5833333333,5.3,0,0
"14",2001-10-01,261493.57573814,296506.412745512,2.49,6.78,7.24,5723.33333333333,3519.16666666667,6256.5,13575.6666666667,33658.5833333333,5.6,0,0
"15",2001-11-01,264266.168563123,299009.62215513,2.09,6.78,7.24,5723.33333333333,3519.16666666667,6256.5,13575.6666666667,33658.5833333333,5.8,0,0
"16",2001-12-01,266933.195973511,301953.974263649,1.82,6.78,7.24,5723.33333333333,3519.16666666667,6256.5,13575.6666666667,33658.5833333333,6,0,0
"17",2002-01-01,269575.940090588,305097.656069978,1.73,6.78,7.24,5633.33333333333,3534.16666666667,5916.08333333333,12900.75,31585.5,6.2,0,0
"18",2002-02-01,272109.133474833,307829.647754592,1.74,6.51,7.02,5633.33333333333,3534.16666666667,5916.08333333333,12900.75,31585.5,6.3,0,0
"19",2002-03-01,274517.389001401,308560.919046345,1.73,6.28,6.8,5633.33333333333,3534.16666666667,5916.08333333333,12900.75,31585.5,6.3,0,0
"20",2002-04-01,276805.617924562,308411.157342771,1.75,6.28,6.8,5633.33333333333,3534.16666666667,5916.08333333333,12900.75,31585.5,6.3,0,0
"21",2002-05-01,279189.65994003,308160.192882186,1.75,6.28,6.8,5633.33333333333,3534.16666666667,5916.08333333333,12900.75,31585.5,6.3,0,0
"22",2002-06-01,281888.269033086,309794.870549373,1.75,6.28,6.8,5633.33333333333,3534.16666666667,5916.08333333333,12900.75,31585.5,6.2,0,0
"23",2002-07-01,284873.386192352,312090.438275178,1.73,6.28,6.8,5633.33333333333,3534.16666666667,5916.08333333333,12900.75,31585.5,6.1,0,0
"24",2002-08-01,288473.391648015,315170.53883782,1.74,6.28,6.8,5633.33333333333,3534.16666666667,5916.08333333333,12900.75,31585.5,6.1,0,0
"25",2002-09-01,292386.921277505,318335.822980128,1.75,6.28,6.8,5633.33333333333,3534.16666666667,5916.08333333333,12900.75,31585.5,6.1,0,0
"26",2002-10-01,296384.973192512,321503.998099134,1.75,6.28,6.8,5633.33333333333,3534.16666666667,5916.08333333333,12900.75,31585.5,6.1,0,0
"27",2002-11-01,300088.063303549,323966.528235883,1.34,5.51,6.13,5633.33333333333,3534.16666666667,5916.08333333333,12900.75,31585.5,6.2,0,0
"28",2002-12-01,303721.8796093,326201.503275161,1.24,5.51,6.13,5633.33333333333,3534.16666666667,5916.08333333333,12900.75,31585.5,6.2,0,0
"29",2003-01-01,307340.28669986,328414.010756491,1.24,5.51,6.13,5626.66666666667,3610,5101.41666666667,12255.75,30455.9166666667,6.3,0,0
"30",2003-02-01,310966.290870118,331165.407523728,1.26,5.51,6.13,5626.66666666667,3610,5101.41666666667,12255.75,30455.9166666667,6.3,0,0
"31",2003-03-01,314731.723322513,334520.858239399,1.25,5.51,6.13,5626.66666666667,3610,5101.41666666667,12255.75,30455.9166666667,6.3,0,0
"32",2003-04-01,318326.81577073,338342.053870954,1.26,5.51,6.13,5626.66666666667,3610,5101.41666666667,12255.75,30455.9166666667,6.4,0,0
"33",2003-05-01,321962.598214032,342182.139514702,1.26,5.51,6.13,5626.66666666667,3610,5101.41666666667,12255.75,30455.9166666667,6.4,0,0
"34",2003-06-01,325556.864872922,346419.733505899,1.22,5.51,6.13,5626.66666666667,3610,5101.41666666667,12255.75,30455.9166666667,6.5,0,0
"35",2003-07-01,329322.901702622,350059.010021582,1.01,5.51,6.13,5626.66666666667,3610,5101.41666666667,12255.75,30455.9166666667,6.5,0,0
"36",2003-08-01,333070.996640562,353467.587205711,1.03,5.44,6.14,5626.66666666667,3610,5101.41666666667,12255.75,30455.9166666667,6.5,0,0
"37",2003-09-01,336592.056633836,356141.62664486,1.01,5.44,6.14,5626.66666666667,3610,5101.41666666667,12255.75,30455.9166666667,6.5,0,0
"38",2003-10-01,339883.854639925,359029.657430908,1.01,5.44,6.14,5626.66666666667,3610,5101.41666666667,12255.75,30455.9166666667,6.4,0,0
"39",2003-11-01,342956.239916261,361984.020107679,1,5.44,6.14,5626.66666666667,3610,5101.41666666667,12255.75,30455.9166666667,6.4,0,0
"40",2003-12-01,345903.685418735,364942.23267999,0.98,5.44,6.14,5626.66666666667,3610,5101.41666666667,12255.75,30455.9166666667,6.3,0,0
"41",2004-01-01,349045.269060037,368318.971912315,1,5.44,6.14,5727.5,3694.16666666667,5561.08333333333,11841.0833333333,29810.3333333333,6.3,0,0
"42",2004-02-01,352183.217565466,371657.968882913,1.01,5.44,6.14,5727.5,3694.16666666667,5561.08333333333,11841.0833333333,29810.3333333333,6.3,0,0
"43",2004-03-01,355429.831332479,375002.390862531,1,5.44,6.14,5727.5,3694.16666666667,5561.08333333333,11841.0833333333,29810.3333333333,6.2,0,0
"44",2004-04-01,358600.570155581,377993.665283876,1,4.84,5.52,5727.5,3694.16666666667,5561.08333333333,11841.0833333333,29810.3333333333,6.1,0,0
"45",2004-05-01,362229.836243293,381531.486089557,1,4.84,5.52,5727.5,3694.16666666667,5561.08333333333,11841.0833333333,29810.3333333333,6,0,0
"46",2004-06-01,366237.513920669,385472.676306432,1.03,4.84,5.52,5727.5,3694.16666666667,5561.08333333333,11841.0833333333,29810.3333333333,5.9,0,0
"47",2004-07-01,370714.597745771,390055.498395766,1.26,5.62,6.21,5727.5,3694.16666666667,5561.08333333333,11841.0833333333,29810.3333333333,5.7,0,0
"48",2004-08-01,375353.587352904,394275.723326306,1.43,5.62,6.21,5727.5,3694.16666666667,5561.08333333333,11841.0833333333,29810.3333333333,5.6,0,0
"49",2004-09-01,380164.574166251,399069.086935098,1.61,5.62,6.21,5727.5,3694.16666666667,5561.08333333333,11841.0833333333,29810.3333333333,5.5,0,0
"50",2004-10-01,384990.940620095,404330.593598698,1.76,5.62,6.21,5727.5,3694.16666666667,5561.08333333333,11841.0833333333,29810.3333333333,5.4,0,0
"51",2004-11-01,389626.50519594,410417.863310781,1.93,5.62,6.21,5727.5,3694.16666666667,5561.08333333333,11841.0833333333,29810.3333333333,5.3,0,0
"52",2004-12-01,393931.969907325,416350.917855659,2.16,5.62,6.21,5727.5,3694.16666666667,5561.08333333333,11841.0833333333,29810.3333333333,5.2,0,0
"53",2005-01-01,397972.455616916,421169.93306361,2.28,5.62,6.21,5881.66666666667,3860.83333333333,5654.5,11289.5833333333,29470.75,5.1,0,0
"54",2005-02-01,401897.651639721,425616.712552242,2.5,5.62,6.21,5881.66666666667,3860.83333333333,5654.5,11289.5833333333,29470.75,5.1,0,0
"55",2005-03-01,405886.418504317,430524.519360003,2.63,5.62,6.21,5881.66666666667,3860.83333333333,5654.5,11289.5833333333,29470.75,5,0,0
"56",2005-04-01,410427.989097132,436656.506521927,2.79,5.62,6.21,5881.66666666667,3860.83333333333,5654.5,11289.5833333333,29470.75,4.9,0,0
"57",2005-05-01,415351.15273757,443076.399269658,3,5.62,6.21,5881.66666666667,3860.83333333333,5654.5,11289.5833333333,29470.75,4.9,0,0
"58",2005-06-01,420337.717101575,448225.743112775,3.04,5.62,6.21,5881.66666666667,3860.83333333333,5654.5,11289.5833333333,29470.75,4.9,0,0
"59",2005-07-01,425067.421607301,454321.459062659,3.26,5.62,6.21,5881.66666666667,3860.83333333333,5654.5,11289.5833333333,29470.75,4.9,0,0
"60",2005-08-01,429740.268480629,460831.036078251,3.5,5.62,6.21,5881.66666666667,3860.83333333333,5654.5,11289.5833333333,29470.75,5,0,0
"61",2005-09-01,434462.231349611,468360.111220669,3.62,5.32,5.71,5881.66666666667,3860.83333333333,5654.5,11289.5833333333,29470.75,5,0,0
"62",2005-10-01,439282.486515929,475539.896889444,3.78,5.32,5.71,5881.66666666667,3860.83333333333,5654.5,11289.5833333333,29470.75,4.9,0,0
"63",2005-11-01,443730.946935907,481540.774669662,4,5.32,5.71,5881.66666666667,3860.83333333333,5654.5,11289.5833333333,29470.75,4.9,0,0
"64",2005-12-01,448022.170289216,488137.335452992,4.16,5.81,6.26,5881.66666666667,3860.83333333333,5654.5,11289.5833333333,29470.75,4.9,0,0
"65",2006-01-01,451841.923640426,493766.565125562,4.29,5.81,6.26,5842.5,4016.66666666667,5752.33333333333,10723.5,30131.1666666667,4.8,0,0
"66",2006-02-01,455643.032449656,499539.679344005,4.49,5.81,6.26,5842.5,4016.66666666667,5752.33333333333,10723.5,30131.1666666667,4.7,0,0
"67",2006-03-01,458887.966681185,503572.504141002,4.59,5.81,6.26,5842.5,4016.66666666667,5752.33333333333,10723.5,30131.1666666667,4.7,0,0
"68",2006-04-01,461809.740708723,506862.777028788,4.79,5.81,6.26,5842.5,4016.66666666667,5752.33333333333,10723.5,30131.1666666667,4.7,0,0
"69",2006-05-01,464334.310512227,510568.781284684,4.94,5.81,6.26,5842.5,4016.66666666667,5752.33333333333,10723.5,30131.1666666667,4.7,0,0
"70",2006-06-01,466691.447515587,514455.572329163,4.99,6.26,6.67,5842.5,4016.66666666667,5752.33333333333,10723.5,30131.1666666667,4.6,0,0
"71",2006-07-01,468415.266983493,518017.95836333,5.24,6.26,6.67,5842.5,4016.66666666667,5752.33333333333,10723.5,30131.1666666667,4.5,0,0
"72",2006-08-01,469261.706692222,521868.759781819,5.25,6.26,6.67,5842.5,4016.66666666667,5752.33333333333,10723.5,30131.1666666667,4.5,0,0
"73",2006-09-01,469181.147931505,524775.473021575,5.25,6.26,6.67,5842.5,4016.66666666667,5752.33333333333,10723.5,30131.1666666667,4.4,0,0
"74",2006-10-01,468278.883146866,524881.758180147,5.25,6.26,6.67,5842.5,4016.66666666667,5752.33333333333,10723.5,30131.1666666667,4.3,0,0
"75",2006-11-01,466893.409315479,520613.205312994,5.25,6.26,6.67,5842.5,4016.66666666667,5752.33333333333,10723.5,30131.1666666667,4.3,0,0
"76",2006-12-01,465260.827397924,516309.990750895,5.24,6.26,6.67,5842.5,4016.66666666667,5752.33333333333,10723.5,30131.1666666667,4.2,0,0
"77",2007-01-01,463701.616805932,514005.592730247,5.25,6.26,6.67,5781.66666666667,4185.83333333333,5913.16666666667,10084.0833333333,31551.3333333333,4.2,0,0
"78",2007-02-01,462507.361085684,513956.598114865,5.26,6.06,6.34,5781.66666666667,4185.83333333333,5913.16666666667,10084.0833333333,31551.3333333333,4.2,0,0
"79",2007-03-01,462240.736354045,517056.692594672,5.26,5.92,6.18,5781.66666666667,4185.83333333333,5913.16666666667,10084.0833333333,31551.3333333333,4.2,0,0
"80",2007-04-01,462065.621574574,519103.806169687,5.25,5.92,6.18,5781.66666666667,4185.83333333333,5913.16666666667,10084.0833333333,31551.3333333333,4.3,0,0
"81",2007-05-01,461897.571791679,521794.435637088,5.25,5.92,6.18,5781.66666666667,4185.83333333333,5913.16666666667,10084.0833333333,31551.3333333333,4.3,0,0
"82",2007-06-01,460780.255695168,520347.665215858,5.25,5.92,6.18,5781.66666666667,4185.83333333333,5913.16666666667,10084.0833333333,31551.3333333333,4.4,0,0
"83",2007-07-01,459211.414034251,518971.996404291,5.26,5.92,6.18,5781.66666666667,4185.83333333333,5913.16666666667,10084.0833333333,31551.3333333333,4.5,0,0
"84",2007-08-01,457511.527659556,517683.836595826,5.02,5.92,6.18,5781.66666666667,4185.83333333333,5913.16666666667,10084.0833333333,31551.3333333333,4.5,0,0
"85",2007-09-01,455688.281636558,516510.587060543,4.94,5.92,6.18,5781.66666666667,4185.83333333333,5913.16666666667,10084.0833333333,31551.3333333333,4.6,0,0
"86",2007-10-01,454332.338750595,516727.910964646,4.76,5.92,6.18,5781.66666666667,4185.83333333333,5913.16666666667,10084.0833333333,31551.3333333333,4.6,0,0
"87",2007-11-01,452966.644114563,516510.758441597,4.49,5.91,6.26,5781.66666666667,4185.83333333333,5913.16666666667,10084.0833333333,31551.3333333333,4.7,0,0
"88",2007-12-01,451643.731066684,516787.82440657,4.24,5.91,6.26,5781.66666666667,4185.83333333333,5913.16666666667,10084.0833333333,31551.3333333333,4.7,1,0
"89",2008-01-01,450391.791124192,516738.605601853,3.94,5.91,6.26,5750,4191.66666666667,5746.5,9829.66666666667,31700.5,4.7,1,0
"90",2008-02-01,449058.133848572,516122.855884374,2.98,5.91,6.26,5750,4191.66666666667,5746.5,9829.66666666667,31700.5,4.8,1,0
"91",2008-03-01,447340.624724052,514475.842457128,2.61,5.91,6.26,5750,4191.66666666667,5746.5,9829.66666666667,31700.5,4.8,1,0
"92",2008-04-01,445367.840843217,511838.2388439,2.28,5.91,6.26,5750,4191.66666666667,5746.5,9829.66666666667,31700.5,4.9,1,0
"93",2008-05-01,442556.374634861,508133.846864817,1.98,5.59,6.06,5750,4191.66666666667,5746.5,9829.66666666667,31700.5,5,1,0
"94",2008-06-01,439685.227640336,504439.63979029,2,5.59,6.06,5750,4191.66666666667,5746.5,9829.66666666667,31700.5,5.2,1,0
"95",2008-07-01,436526.77208718,500445.075962191,2.01,5.59,6.06,5750,4191.66666666667,5746.5,9829.66666666667,31700.5,5.3,1,0
"96",2008-08-01,433572.743591611,496587.883223327,2,5.59,6.06,5750,4191.66666666667,5746.5,9829.66666666667,31700.5,5.5,1,0
"97",2008-09-01,430526.199962176,492641.185638707,1.81,5.59,6.06,5750,4191.66666666667,5746.5,9829.66666666667,31700.5,5.7,1,0
"98",2008-10-01,427246.90809993,488940.200754488,0.97,5.59,6.06,5750,4191.66666666667,5746.5,9829.66666666667,31700.5,6,1,0
"99",2008-11-01,423810.81482979,485425.40173361,0.39,5.59,6.06,5750,4191.66666666667,5746.5,9829.66666666667,31700.5,6.3,1,0
"100",2008-12-01,420512.206712413,481778.952016954,0.16,5.59,6.06,5750,4191.66666666667,5746.5,9829.66666666667,31700.5,6.7,1,0
"101",2009-01-01,417092.077459256,478027.049531159,0.15,5.59,6.06,5745,4148.33333333333,5313.33333333333,8894.16666666667,32230.4166666667,7.1,1,0
"102",2009-02-01,413771.698043093,473744.558264001,0.22,5.59,6.06,5745,4148.33333333333,5313.33333333333,8894.16666666667,32230.4166666667,7.5,1,0
"103",2009-03-01,410567.243753246,469647.88212751,0.18,5.59,6.06,5745,4148.33333333333,5313.33333333333,8894.16666666667,32230.4166666667,7.9,1,0
"104",2009-04-01,407440.336884459,465757.922399969,0.15,5.59,6.06,5745,4148.33333333333,5313.33333333333,8894.16666666667,32230.4166666667,8.1,1,0
"105",2009-05-01,404741.9441778,462188.610575533,0.18,5.59,6.06,5745,4148.33333333333,5313.33333333333,8894.16666666667,32230.4166666667,8.3,1,0
"106",2009-06-01,402042.678353833,458578.55321603,0.21,5.59,6.06,5745,4148.33333333333,5313.33333333333,8894.16666666667,32230.4166666667,8.5,1,0
"107",2009-07-01,399521.867306703,454842.067331535,0.16,5.59,6.06,5745,4148.33333333333,5313.33333333333,8894.16666666667,32230.4166666667,8.6,0,0
"108",2009-08-01,396846.971357844,451304.853770035,0.16,5.59,6.06,5745,4148.33333333333,5313.33333333333,8894.16666666667,32230.4166666667,8.7,0,0
"109",2009-09-01,394630.05370461,448690.82345891,0.15,5.59,6.06,5745,4148.33333333333,5313.33333333333,8894.16666666667,32230.4166666667,8.8,0,0
"110",2009-10-01,392913.055262693,446711.38361521,0.12,4.36,4.94,5745,4148.33333333333,5313.33333333333,8894.16666666667,32230.4166666667,8.9,0,0
"111",2009-11-01,391815.649497135,446259.272487647,0.12,4.36,4.94,5745,4148.33333333333,5313.33333333333,8894.16666666667,32230.4166666667,9,0,0
"112",2009-12-01,391132.335672431,445928.729434172,0.12,4.36,4.94,5745,4148.33333333333,5313.33333333333,8894.16666666667,32230.4166666667,9,0,0
"113",2010-01-01,390890.104609074,446092.316981166,0.11,4.36,4.94,5618.33333333333,4106.66666666667,4948.91666666667,8759.58333333333,32657.6666666667,9,0,0
"114",2010-02-01,391051.546371341,446097.885359997,0.13,4.36,4.94,5618.33333333333,4106.66666666667,4948.91666666667,8759.58333333333,32657.6666666667,9,0,0
"115",2010-03-01,391014.733307974,445421.59776546,0.16,4.36,4.94,5618.33333333333,4106.66666666667,4948.91666666667,8759.58333333333,32657.6666666667,8.9,0,0
"116",2010-04-01,391008.858414983,444736.690904053,0.2,4.39,5.08,5618.33333333333,4106.66666666667,4948.91666666667,8759.58333333333,32657.6666666667,8.8,0,0
"117",2010-05-01,390834.098364608,444559.179365097,0.2,4.39,5.08,5618.33333333333,4106.66666666667,4948.91666666667,8759.58333333333,32657.6666666667,8.8,0,0
"118",2010-06-01,391210.395663565,445905.379516306,0.18,4.39,5.08,5618.33333333333,4106.66666666667,4948.91666666667,8759.58333333333,32657.6666666667,8.7,0,0
"119",2010-07-01,391631.671765151,447596.412276538,0.18,4.04,4.58,5618.33333333333,4106.66666666667,4948.91666666667,8759.58333333333,32657.6666666667,8.6,0,0
"120",2010-08-01,391823.858007793,448513.42426525,0.19,4.04,4.58,5618.33333333333,4106.66666666667,4948.91666666667,8759.58333333333,32657.6666666667,8.6,0,0
"121",2010-09-01,391388.858709932,449393.794287498,0.19,4.04,4.58,5618.33333333333,4106.66666666667,4948.91666666667,8759.58333333333,32657.6666666667,8.6,0,0
"122",2010-10-01,390263.617142812,449722.123961746,0.19,4.04,4.58,5618.33333333333,4106.66666666667,4948.91666666667,8759.58333333333,32657.6666666667,8.6,0,0
"123",2010-11-01,388700.853909871,449559.343741185,0.19,4.04,4.58,5618.33333333333,4106.66666666667,4948.91666666667,8759.58333333333,32657.6666666667,8.5,0,0
"124",2010-12-01,386822.846667808,448099.159382129,0.18,4.04,4.58,5618.33333333333,4106.66666666667,4948.91666666667,8759.58333333333,32657.6666666667,8.5,0,0
"125",2011-01-01,385369.744909275,447191.516341644,0.17,4.04,4.58,5542.5,4170.83333333333,4770,8889.08333333333,31925.6666666667,8.4,0,0
"126",2011-02-01,384231.759161686,446574.225774047,0.16,4.04,4.58,5542.5,4170.83333333333,4770,8889.08333333333,31925.6666666667,8.3,0,0
"127",2011-03-01,383588.554975318,447158.669740547,0.14,4.04,4.58,5542.5,4170.83333333333,4770,8889.08333333333,31925.6666666667,8.2,0,0
"128",2011-04-01,382644.964248259,446993.467874586,0.1,4.04,4.58,5542.5,4170.83333333333,4770,8889.08333333333,31925.6666666667,8.2,0,0
"129",2011-05-01,381558.928575174,446810.167835999,0.09,4.04,4.58,5542.5,4170.83333333333,4770,8889.08333333333,31925.6666666667,8.2,0,0
"130",2011-06-01,380024.283026462,445837.358504258,0.09,4.04,4.58,5542.5,4170.83333333333,4770,8889.08333333333,31925.6666666667,8.3,0,0
"131",2011-07-01,378461.041256335,444929.856943209,0.07,4.04,4.58,5542.5,4170.83333333333,4770,8889.08333333333,31925.6666666667,8.3,0,0
"132",2011-08-01,376866.203841873,443830.667341704,0.1,4.04,4.58,5542.5,4170.83333333333,4770,8889.08333333333,31925.6666666667,8.4,0,0
"133",2011-09-01,375321.0460334,442500.366561224,0.08,3.39,4.22,5542.5,4170.83333333333,4770,8889.08333333333,31925.6666666667,8.4,0,0
